date,city,neighborhood,address,rooms,sqm,floor,year_built,price
2024-07-30,נתניה,קרית השרון,רחוב לדוגמה 62,5,115,2,1973,2471000.0
2026-04-28,נתניה,קרית השרון,רחוב לדוגמה 26,5,115,0,2015,2058000.0
2025-12-09,נתניה,קרית השרון,רחוב לדוגמה 40,2.5,55,8,1990,1056000.0
2024-12-22,נתניה,קרית השרון,רחוב לדוגמה 97,5,115,3,1983,2046000.0
2025-07-01,נתניה,קרית השרון,רחוב לדוגמה 43,2.5,55,4,1972,1209000.0
2025-06-20,נתניה,קרית השרון,רחוב לדוגמה 96,4.5,100,7,1989,2209000.0
2025-07-19,נתניה,קרית השרון,רחוב לדוגמה 64,3,70,5,1998,1389000.0
2025-10-01,נתניה,קרית השרון,רחוב לדוגמה 11,3,62,6,2003,1331000.0
2025-12-29,נתניה,קרית השרון,רחוב לדוגמה 11,4,82,5,2007,1582000.0
2025-09-02,נתניה,קרית השרון,רחוב לדוגמה 92,4,82,6,1975,1614000.0
2024-07-25,נתניה,קרית השרון,רחוב לדוגמה 6,5,115,5,2004,2062000.0
2025-04-12,נתניה,קרית השרון,רחוב לדוגמה 8,4,82,1,2007,1671000.0
2024-09-17,נתניה,קרית השרון,רחוב לדוגמה 96,4.5,100,2,1966,1815000.0
2026-02-05,נתניה,קרית השרון,רחוב לדוגמה 9,5,115,3,2014,2030000.0
2024-09-09,נתניה,קרית השרון,רחוב לדוגמה 73,4,90,0,2003,1631000.0
2026-01-25,נתניה,קרית השרון,רחוב לדוגמה 48,5,115,7,2013,2672000.0
2026-04-14,נתניה,קרית השרון,רחוב לדוגמה 51,3,70,5,2006,1465000.0
2025-09-19,נתניה,קרית השרון,רחוב לדוגמה 4,3.5,75,2,1996,1713000.0
2025-01-17,נתניה,קרית השרון,רחוב לדוגמה 16,4.5,100,4,2014,2169000.0
2025-10-08,נתניה,קרית השרון,רחוב לדוגמה 79,5,115,4,2009,2116000.0
2025-02-14,נתניה,קרית השרון,רחוב לדוגמה 10,3.5,75,7,1976,1289000.0
2024-07-01,נתניה,קרית השרון,רחוב לדוגמה 88,5,115,5,2007,2470000.0
2025-07-11,נתניה,קרית השרון,רחוב לדוגמה 38,3,62,4,1975,1249000.0
2024-07-03,נתניה,קרית השרון,רחוב לדוגמה 66,3,70,3,1972,1424000.0
2025-12-08,נתניה,קרית השרון,רחוב לדוגמה 64,3,70,0,1988,1310000.0
2024-12-11,נתניה,קרית השרון,רחוב לדוגמה 71,4,90,2,2004,1710000.0
2026-04-04,נתניה,קרית השרון,רחוב לדוגמה 92,3,62,7,1998,1210000.0
2025-05-07,נתניה,קרית השרון,רחוב לדוגמה 10,4.5,100,2,1985,2154000.0
2024-09-12,נתניה,קרית השרון,רחוב לדוגמה 88,3,62,8,1987,1155000.0
2026-02-20,נתניה,קרית השרון,רחוב לדוגמה 17,3,70,6,1997,1555000.0
2026-05-06,נתניה,קרית השרון,רחוב לדוגמה 39,3,62,2,1975,1297000.0
2025-08-05,נתניה,קרית השרון,רחוב לדוגמה 67,3.5,75,4,1970,1425000.0
2025-10-18,נתניה,קרית השרון,רחוב לדוגמה 71,3.5,75,4,1973,1573000.0
2024-09-29,נתניה,קרית השרון,רחוב לדוגמה 12,4,82,8,2006,1608000.0
2024-11-02,נתניה,אגמים,רחוב לדוגמה 80,3,70,5,2001,1289000.0
2026-05-20,נתניה,אגמים,רחוב לדוגמה 83,2.5,55,4,2006,1075000.0
2025-11-28,נתניה,אגמים,רחוב לדוגמה 4,4.5,100,7,2005,2251000.0
2024-12-20,נתניה,אגמים,רחוב לדוגמה 39,4,82,7,1980,1760000.0
2024-07-30,נתניה,אגמים,רחוב לדוגמה 10,4.5,100,0,1975,1890000.0
2025-04-07,נתניה,אגמים,רחוב לדוגמה 27,4.5,100,5,2003,2084000.0
2026-02-04,נתניה,אגמים,רחוב לדוגמה 41,4,90,5,1990,2193000.0
2026-02-18,נתניה,אגמים,רחוב לדוגמה 14,4,90,5,1980,1991000.0
2025-03-11,נתניה,אגמים,רחוב לדוגמה 32,3,62,2,1971,1203000.0
2026-05-11,נתניה,אגמים,רחוב לדוגמה 79,4,82,6,1980,2075000.0
2026-01-19,נתניה,אגמים,רחוב לדוגמה 93,4,90,5,1977,2230000.0
2026-01-19,נתניה,אגמים,רחוב לדוגמה 60,5,115,7,1984,2896000.0
2025-02-07,נתניה,אגמים,רחוב לדוגמה 51,2.5,55,8,1994,1001000.0
2025-10-28,נתניה,אגמים,רחוב לדוגמה 7,3.5,75,0,1983,1663000.0
2025-02-10,נתניה,אגמים,רחוב לדוגמה 2,5,115,1,1992,2233000.0
2026-02-14,נתניה,אגמים,רחוב לדוגמה 98,4,82,6,1988,1928000.0
2026-05-16,נתניה,אגמים,רחוב לדוגמה 72,4.5,100,3,1988,1933000.0
2024-12-12,נתניה,אגמים,רחוב לדוגמה 65,4,82,7,2013,1470000.0
2024-12-15,נתניה,אגמים,רחוב לדוגמה 80,4,82,1,1973,1851000.0
2026-03-24,נתניה,אגמים,רחוב לדוגמה 44,4.5,100,8,1988,2130000.0
2026-02-04,נתניה,אגמים,רחוב לדוגמה 52,3.5,75,8,1967,1699000.0
2026-05-16,נתניה,אגמים,רחוב לדוגמה 43,2.5,55,7,1998,1095000.0
2025-03-21,נתניה,אגמים,רחוב לדוגמה 66,3,70,2,1985,1508000.0
2024-10-12,נתניה,אגמים,רחוב לדוגמה 79,4,90,4,2002,1647000.0
2025-07-22,נתניה,אגמים,רחוב לדוגמה 39,5,115,7,1966,2603000.0
2025-06-19,נתניה,אגמים,רחוב לדוגמה 54,4,90,4,2015,2006000.0
2024-07-27,נתניה,אגמים,רחוב לדוגמה 34,2.5,55,3,2011,1138000.0
2026-05-10,נתניה,אגמים,רחוב לדוגמה 81,5,115,6,1974,2312000.0
2024-08-03,נתניה,אגמים,רחוב לדוגמה 90,3.5,75,1,1977,1298000.0
2026-06-12,נתניה,אגמים,רחוב לדוגמה 20,5,115,6,2009,2435000.0
2025-05-07,עפולה,מרכז,רחוב לדוגמה 95,5,115,0,2010,1100000.0
2026-02-10,עפולה,מרכז,רחוב לדוגמה 85,3.5,75,7,1998,702000.0
2025-06-11,עפולה,מרכז,רחוב לדוגמה 59,4,90,8,1986,888000.0
2024-12-19,עפולה,מרכז,רחוב לדוגמה 93,4,90,4,2004,789000.0
2025-02-21,עפולה,מרכז,רחוב לדוגמה 36,3.5,75,8,1984,721000.0
2025-11-13,עפולה,מרכז,רחוב לדוגמה 91,4,82,3,2009,798000.0
2024-07-10,עפולה,מרכז,רחוב לדוגמה 45,5,115,8,2015,871000.0
2025-09-24,עפולה,מרכז,רחוב לדוגמה 87,4,82,8,1989,646000.0
2025-05-23,עפולה,מרכז,רחוב לדוגמה 19,4,90,4,1967,883000.0
2025-09-10,עפולה,מרכז,רחוב לדוגמה 57,3,62,4,2012,524000.0
2025-02-26,עפולה,מרכז,רחוב לדוגמה 69,3.5,75,4,2000,578000.0
2024-07-19,עפולה,מרכז,רחוב לדוגמה 79,4,82,3,1980,587000.0
2026-05-11,עפולה,מרכז,רחוב לדוגמה 7,3.5,75,1,1991,733000.0
2025-07-28,עפולה,מרכז,רחוב לדוגמה 99,5,115,2,1965,888000.0
2024-12-15,עפולה,מרכז,רחוב לדוגמה 61,3,70,7,2006,566000.0
2025-12-09,עפולה,מרכז,רחוב לדוגמה 83,4,82,0,2014,703000.0
2026-04-01,עפולה,מרכז,רחוב לדוגמה 93,3.5,75,0,1976,705000.0
2025-04-30,עפולה,מרכז,רחוב לדוגמה 5,3,70,6,2015,679000.0
2025-02-09,עפולה,מרכז,רחוב לדוגמה 38,3,70,0,1965,667000.0
2025-08-30,עפולה,מרכז,רחוב לדוגמה 43,3,62,4,1994,619000.0
2024-09-13,עפולה,מרכז,רחוב לדוגמה 18,5,115,8,1994,1045000.0
2025-09-25,עפולה,מרכז,רחוב לדוגמה 43,3.5,75,2,2011,729000.0
2025-03-19,עפולה,מרכז,רחוב לדוגמה 2,4,82,5,2015,743000.0
2025-09-02,עפולה,מרכז,רחוב לדוגמה 82,3.5,75,6,1992,599000.0
2025-01-20,עפולה,מרכז,רחוב לדוגמה 86,4,90,1,1976,661000.0
2026-02-08,עפולה,מרכז,רחוב לדוגמה 32,5,115,0,1981,1000000.0
2025-06-04,עפולה,מרכז,רחוב לדוגמה 35,3.5,75,5,1984,639000.0
2024-11-12,עפולה,מרכז,רחוב לדוגמה 47,2.5,55,3,1968,421000.0
2024-08-17,עפולה,מרכז,רחוב לדוגמה 21,3,62,6,2008,496000.0
2025-02-02,עפולה,מרכז,רחוב לדוגמה 82,4,82,4,1988,729000.0
2024-10-10,עפולה,מרכז,רחוב לדוגמה 18,3.5,75,7,1974,562000.0
2024-10-19,עפולה,עפולה הצעירה,רחוב לדוגמה 71,4,90,7,2013,871000.0
2024-12-28,עפולה,עפולה הצעירה,רחוב לדוגמה 88,3.5,75,1,1998,817000.0
2025-03-31,עפולה,עפולה הצעירה,רחוב לדוגמה 73,4,90,1,1968,812000.0
2024-12-18,עפולה,עפולה הצעירה,רחוב לדוגמה 20,3.5,75,2,1985,772000.0
2025-01-15,עפולה,עפולה הצעירה,רחוב לדוגמה 27,5,115,7,1970,1032000.0
2025-01-25,עפולה,עפולה הצעירה,רחוב לדוגמה 59,5,115,2,1997,1277000.0
2025-05-02,עפולה,עפולה הצעירה,רחוב לדוגמה 72,5,115,7,2008,1219000.0
2025-08-20,עפולה,עפולה הצעירה,רחוב לדוגמה 1,2.5,55,3,2002,569000.0
2026-04-18,עפולה,עפולה הצעירה,רחוב לדוגמה 90,2.5,55,1,1999,607000.0
2026-05-01,עפולה,עפולה הצעירה,רחוב לדוגמה 61,3,62,0,1983,805000.0
2025-05-09,עפולה,עפולה הצעירה,רחוב לדוגמה 99,3,70,6,1988,788000.0
2025-06-05,עפולה,עפולה הצעירה,רחוב לדוגמה 49,5,115,6,1970,1340000.0
2024-08-01,עפולה,עפולה הצעירה,רחוב לדוגמה 45,3,70,1,1976,714000.0
2024-12-28,עפולה,עפולה הצעירה,רחוב לדוגמה 94,4.5,100,3,1965,1019000.0
2026-06-08,עפולה,עפולה הצעירה,רחוב לדוגמה 93,4,82,8,1992,927000.0
2025-01-03,עפולה,עפולה הצעירה,רחוב לדוגמה 32,4.5,100,7,1987,1109000.0
2026-01-24,עפולה,עפולה הצעירה,רחוב לדוגמה 93,4,82,1,1967,824000.0
2024-08-24,עפולה,עפולה הצעירה,רחוב לדוגמה 3,4.5,100,3,1978,1014000.0
2026-04-24,עפולה,עפולה הצעירה,רחוב לדוגמה 58,3,62,0,1980,721000.0
2026-05-17,עפולה,עפולה הצעירה,רחוב לדוגמה 70,4.5,100,3,2013,1117000.0
2026-05-05,עפולה,עפולה הצעירה,רחוב לדוגמה 38,3,70,3,2011,795000.0
2024-11-19,עפולה,עפולה הצעירה,רחוב לדוגמה 99,4,90,5,1980,922000.0
2025-08-26,עפולה,עפולה הצעירה,רחוב לדוגמה 67,3,70,3,1991,857000.0
2025-08-28,עפולה,עפולה הצעירה,רחוב לדוגמה 76,4,82,2,2005,762000.0
2024-08-05,עפולה,עפולה הצעירה,רחוב לדוגמה 7,4.5,100,5,2006,992000.0
2024-08-13,עפולה,עפולה הצעירה,רחוב לדוגמה 41,4.5,100,6,1991,1062000.0
2026-01-30,עפולה,עפולה הצעירה,רחוב לדוגמה 97,4,82,8,1995,876000.0
2025-10-28,עפולה,עפולה הצעירה,רחוב לדוגמה 91,3.5,75,2,1994,765000.0
2026-05-03,עפולה,עפולה הצעירה,רחוב לדוגמה 72,4.5,100,8,1973,1293000.0
2025-05-30,עפולה,עפולה הצעירה,רחוב לדוגמה 43,3.5,75,1,1993,728000.0
2025-06-17,עפולה,עפולה הצעירה,רחוב לדוגמה 25,3,62,0,1982,659000.0
2025-06-10,עפולה,עפולה הצעירה,רחוב לדוגמה 25,2.5,55,8,1978,642000.0
2025-02-26,עפולה,עפולה הצעירה,רחוב לדוגמה 43,3.5,75,4,1965,853000.0
2025-11-27,עפולה,עפולה הצעירה,רחוב לדוגמה 16,3.5,75,7,1980,933000.0
2024-07-19,עפולה,עפולה הצעירה,רחוב לדוגמה 31,3.5,75,8,1985,706000.0
2025-09-15,עפולה,עפולה הצעירה,רחוב לדוגמה 84,4.5,100,5,1984,1063000.0
2025-10-07,עפולה,עפולה הצעירה,רחוב לדוגמה 64,4,90,7,1971,976000.0
2025-03-08,עפולה,עפולה הצעירה,רחוב לדוגמה 48,4,90,5,1991,1039000.0
2026-05-16,עפולה,עפולה הצעירה,רחוב לדוגמה 3,3.5,75,4,2000,915000.0
2024-11-15,קרית גת,העיר העתיקה,רחוב לדוגמה 26,4.5,100,5,1979,724000.0
2025-06-08,קרית גת,העיר העתיקה,רחוב לדוגמה 84,3.5,75,5,1981,610000.0
2025-02-16,קרית גת,העיר העתיקה,רחוב לדוגמה 94,5,115,5,1975,898000.0
2026-02-08,קרית גת,העיר העתיקה,רחוב לדוגמה 70,5,115,0,1998,903000.0
2026-05-28,קרית גת,העיר העתיקה,רחוב לדוגמה 86,3,62,0,2013,627000.0
2026-06-25,קרית גת,העיר העתיקה,רחוב לדוגמה 81,4.5,100,3,1969,801000.0
2024-07-07,קרית גת,העיר העתיקה,רחוב לדוגמה 65,3,70,7,1988,445000.0
2026-05-01,קרית גת,העיר העתיקה,רחוב לדוגמה 3,5,115,0,1999,1067000.0
2024-12-14,קרית גת,העיר העתיקה,רחוב לדוגמה 68,4.5,100,4,1999,663000.0
2025-09-11,קרית גת,העיר העתיקה,רחוב לדוגמה 90,2.5,55,6,1976,459000.0
2026-03-14,קרית גת,העיר העתיקה,רחוב לדוגמה 31,3,62,3,2004,546000.0
2025-01-08,קרית גת,העיר העתיקה,רחוב לדוגמה 35,4,82,6,1970,702000.0
2025-06-14,קרית גת,העיר העתיקה,רחוב לדוגמה 32,4.5,100,3,1984,805000.0
2024-07-31,קרית גת,העיר העתיקה,רחוב לדוגמה 84,3,62,0,1970,486000.0
2025-05-12,קרית גת,העיר העתיקה,רחוב לדוגמה 61,4.5,100,0,2005,778000.0
2026-06-22,קרית גת,העיר העתיקה,רחוב לדוגמה 56,3,70,5,2001,550000.0
2026-03-26,קרית גת,העיר העתיקה,רחוב לדוגמה 89,2.5,55,7,1982,443000.0
2026-05-15,קרית גת,העיר העתיקה,רחוב לדוגמה 36,3,62,8,2001,582000.0
2024-08-27,קרית גת,העיר העתיקה,רחוב לדוגמה 41,2.5,55,0,1978,375000.0
2024-11-07,קרית גת,העיר העתיקה,רחוב לדוגמה 92,3,70,6,1969,579000.0
2025-08-29,קרית גת,העיר העתיקה,רחוב לדוגמה 73,3,70,6,2008,593000.0
2024-12-25,קרית גת,העיר העתיקה,רחוב לדוגמה 95,4,90,2,2015,677000.0
2024-07-26,קרית גת,העיר העתיקה,רחוב לדוגמה 45,3,62,0,1971,464000.0
2025-04-10,קרית גת,העיר העתיקה,רחוב לדוגמה 44,3.5,75,6,2014,662000.0
2025-08-01,קרית גת,העיר העתיקה,רחוב לדוגמה 58,2.5,55,7,1979,472000.0
2025-07-02,קרית גת,העיר העתיקה,רחוב לדוגמה 88,4.5,100,6,1970,802000.0
2024-10-06,קרית גת,העיר העתיקה,רחוב לדוגמה 92,4,82,1,1970,681000.0
2025-09-30,קרית גת,העיר העתיקה,רחוב לדוגמה 82,3,70,2,2012,565000.0
2025-05-29,קרית גת,העיר העתיקה,רחוב לדוגמה 12,4,90,0,1984,700000.0
2025-04-02,קרית גת,העיר העתיקה,רחוב לדוגמה 14,4,90,2,1970,776000.0
2025-12-22,קרית גת,העיר העתיקה,רחוב לדוגמה 72,4.5,100,8,1991,843000.0
2026-03-18,קרית גת,העיר העתיקה,רחוב לדוגמה 71,2.5,55,1,2003,422000.0
2024-10-27,קרית גת,העיר העתיקה,רחוב לדוגמה 2,4,90,4,1991,766000.0
2025-05-30,קרית גת,העיר העתיקה,רחוב לדוגמה 72,3,62,3,2001,537000.0
2025-01-14,קרית גת,העיר העתיקה,רחוב לדוגמה 22,3,70,2,1982,579000.0
2025-08-27,קרית גת,העיר העתיקה,רחוב לדוגמה 9,4,82,2,1992,680000.0
2025-09-22,קרית גת,העיר העתיקה,רחוב לדוגמה 10,4.5,100,5,1981,786000.0
2025-10-22,קרית גת,העיר העתיקה,רחוב לדוגמה 26,5,115,7,1971,996000.0
2026-02-13,קרית גת,העיר העתיקה,רחוב לדוגמה 51,4,82,5,2004,607000.0
2025-06-07,קרית גת,העיר העתיקה,רחוב לדוגמה 56,4,90,2,1984,719000.0
2025-08-07,קרית גת,העיר העתיקה,רחוב לדוגמה 23,3.5,75,6,1985,616000.0
2025-09-06,קרית גת,העיר העתיקה,רחוב לדוגמה 32,5,115,5,1989,1092000.0
2025-09-17,קרית גת,העיר העתיקה,רחוב לדוגמה 73,4.5,100,3,2002,801000.0
2025-12-29,קרית גת,כרמי גת,רחוב לדוגמה 60,2.5,55,3,1993,804000.0
2025-09-06,קרית גת,כרמי גת,רחוב לדוגמה 53,3,62,7,1973,848000.0
2024-09-21,קרית גת,כרמי גת,רחוב לדוגמה 85,4,82,2,2010,862000.0
2025-04-24,קרית גת,כרמי גת,רחוב לדוגמה 77,4.5,100,7,2002,1052000.0
2025-05-17,קרית גת,כרמי גת,רחוב לדוגמה 47,4.5,100,8,2003,1229000.0
2024-09-16,קרית גת,כרמי גת,רחוב לדוגמה 32,3,62,5,1975,623000.0
2024-09-07,קרית גת,כרמי גת,רחוב לדוגמה 83,2.5,55,6,2013,636000.0
2025-07-27,קרית גת,כרמי גת,רחוב לדוגמה 13,4.5,100,4,1979,1090000.0
2025-01-25,קרית גת,כרמי גת,רחוב לדוגמה 51,3.5,75,7,2014,869000.0
2024-08-05,קרית גת,כרמי גת,רחוב לדוגמה 4,3,70,7,1971,752000.0
2025-09-02,קרית גת,כרמי גת,רחוב לדוגמה 11,4.5,100,1,2011,1405000.0
2026-02-06,קרית גת,כרמי גת,רחוב לדוגמה 59,4,90,3,1998,1104000.0
2025-02-22,קרית גת,כרמי גת,רחוב לדוגמה 57,4,90,7,1985,1060000.0
2026-04-24,קרית גת,כרמי גת,רחוב לדוגמה 91,4,82,1,1966,939000.0
2025-07-15,קרית גת,כרמי גת,רחוב לדוגמה 22,3,62,3,1998,804000.0
2026-01-04,קרית גת,כרמי גת,רחוב לדוגמה 55,3,70,7,1979,856000.0
2025-05-13,קרית גת,כרמי גת,רחוב לדוגמה 85,3,70,6,1990,768000.0
2026-06-02,קרית גת,כרמי גת,רחוב לדוגמה 55,3.5,75,6,1965,990000.0
2024-07-10,קרית גת,כרמי גת,רחוב לדוגמה 97,3.5,75,1,2001,765000.0
2026-03-19,קרית גת,כרמי גת,רחוב לדוגמה 26,3,70,7,1972,883000.0
2025-10-06,קרית גת,כרמי גת,רחוב לדוגמה 82,5,115,5,2003,1460000.0
2025-05-30,קרית גת,כרמי גת,רחוב לדוגמה 45,4.5,100,5,1994,1249000.0
2024-10-07,קרית גת,כרמי גת,רחוב לדוגמה 91,3,70,4,2004,877000.0
2024-11-04,קרית גת,כרמי גת,רחוב לדוגמה 41,3,62,1,1980,752000.0
2025-08-23,קרית גת,כרמי גת,רחוב לדוגמה 89,3,62,2,1997,698000.0
2025-05-30,קרית גת,כרמי גת,רחוב לדוגמה 74,4.5,100,6,1992,1252000.0
2025-12-23,קרית גת,כרמי גת,רחוב לדוגמה 89,5,115,2,2000,1537000.0
2026-01-12,קרית גת,כרמי גת,רחוב לדוגמה 24,5,115,5,1993,1391000.0
2024-10-05,קרית גת,כרמי גת,רחוב לדוגמה 2,2.5,55,7,1973,698000.0
2025-12-14,קרית גת,כרמי גת,רחוב לדוגמה 65,4.5,100,7,1991,1460000.0
2024-07-30,קרית גת,כרמי גת,רחוב לדוגמה 57,5,115,7,1975,1260000.0
2026-04-08,קרית גת,כרמי גת,רחוב לדוגמה 29,2.5,55,4,1967,791000.0
2025-09-23,קרית גת,כרמי גת,רחוב לדוגמה 22,3.5,75,7,2001,951000.0
2025-02-09,קרית גת,כרמי גת,רחוב לדוגמה 35,3,62,8,1988,749000.0
2024-12-23,קרית גת,כרמי גת,רחוב לדוגמה 57,2.5,55,8,1978,692000.0
2025-04-22,קרית גת,כרמי גת,רחוב לדוגמה 84,3,62,3,1984,800000.0
2026-05-29,קרית גת,כרמי גת,רחוב לדוגמה 12,5,115,7,1972,1430000.0
2025-11-01,קרית גת,כרמי גת,רחוב לדוגמה 76,3.5,75,5,2010,1039000.0
2024-10-15,קרית גת,כרמי גת,רחוב לדוגמה 18,4.5,100,3,1978,1032000.0
2026-05-02,קרית גת,כרמי גת,רחוב לדוגמה 77,4,90,8,1975,1208000.0
2025-08-04,קרית גת,כרמי גת,רחוב לדוגמה 35,4,82,8,2008,951000.0
2026-03-26,קרית גת,כרמי גת,רחוב לדוגמה 53,3,70,0,1982,1049000.0
